threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,experiment
0.88,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,base_features
0.89,0.9473684210526315,0.6923076923076923,0.8,45515,2,16,36,base_features
0.9,0.9459459459459459,0.6730769230769231,0.7865168539325843,45515,2,17,35,base_features
0.91,0.9459459459459459,0.6730769230769231,0.7865168539325843,45515,2,17,35,base_features
0.92,0.9459459459459459,0.6730769230769231,0.7865168539325843,45515,2,17,35,base_features
0.93,0.9459459459459459,0.6730769230769231,0.7865168539325843,45515,2,17,35,base_features
0.94,0.9459459459459459,0.6730769230769231,0.7865168539325843,45515,2,17,35,base_features
0.95,0.9459459459459459,0.6730769230769231,0.7865168539325843,45515,2,17,35,base_features
0.01,0.4117647058823529,0.8076923076923077,0.5454545454545454,45457,60,10,42,engineered_features
0.02,0.5189873417721519,0.7884615384615384,0.6259541984732825,45479,38,11,41,engineered_features
0.03,0.5942028985507246,0.7884615384615384,0.6776859504132231,45489,28,11,41,engineered_features
0.04,0.6212121212121212,0.7884615384615384,0.6949152542372882,45492,25,11,41,engineered_features
0.05,0.6557377049180327,0.7692307692307693,0.7079646017699115,45496,21,12,40,engineered_features
0.06,0.6666666666666666,0.7692307692307693,0.7142857142857143,45497,20,12,40,engineered_features
0.07,0.6896551724137931,0.7692307692307693,0.7272727272727273,45499,18,12,40,engineered_features
0.08,0.6896551724137931,0.7692307692307693,0.7272727272727273,45499,18,12,40,engineered_features
0.09,0.7017543859649122,0.7692307692307693,0.7339449541284404,45500,17,12,40,engineered_features
0.1,0.7142857142857143,0.7692307692307693,0.7407407407407407,45501,16,12,40,engineered_features
0.11,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,engineered_features
0.12,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,engineered_features
0.13,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,engineered_features
0.14,0.7090909090909091,0.75,0.7289719626168224,45501,16,13,39,engineered_features
0.15,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,engineered_features
0.16,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,engineered_features
0.17,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,engineered_features
0.18,0.7358490566037735,0.75,0.7428571428571429,45503,14,13,39,engineered_features
0.19,0.75,0.75,0.75,45504,13,13,39,engineered_features
0.2,0.7647058823529411,0.75,0.7572815533980582,45505,12,13,39,engineered_features
0.21,0.7647058823529411,0.75,0.7572815533980582,45505,12,13,39,engineered_features
0.22,0.7647058823529411,0.75,0.7572815533980582,45505,12,13,39,engineered_features
0.23,0.78,0.75,0.7647058823529411,45506,11,13,39,engineered_features
0.24,0.78,0.75,0.7647058823529411,45506,11,13,39,engineered_features
0.25,0.78,0.75,0.7647058823529411,45506,11,13,39,engineered_features
0.26,0.78,0.75,0.7647058823529411,45506,11,13,39,engineered_features
0.27,0.7959183673469388,0.75,0.7722772277227723,45507,10,13,39,engineered_features
0.28,0.8125,0.75,0.78,45508,9,13,39,engineered_features
0.29,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.3,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.31,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.32,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.33,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.34,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.35,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.36,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.37,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.38,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.39,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.4,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.41,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.42,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,engineered_features
0.43,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,engineered_features
0.44,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,engineered_features
0.45,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,engineered_features
0.46,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,engineered_features
0.47,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,engineered_features
0.48,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,engineered_features
0.49,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,engineered_features
0.5,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,engineered_features
0.51,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.52,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.53,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.54,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.55,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.56,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.57,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.58,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.59,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.6,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.61,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.62,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.63,0.8666666666666667,0.75,0.8041237113402062,45511,6,13,39,engineered_features
0.64,0.8636363636363636,0.7307692307692307,0.7916666666666666,45511,6,14,38,engineered_features
0.65,0.8837209302325582,0.7307692307692307,0.8,45512,5,14,38,engineered_features
0.66,0.8837209302325582,0.7307692307692307,0.8,45512,5,14,38,engineered_features
0.67,0.9047619047619048,0.7307692307692307,0.8085106382978723,45513,4,14,38,engineered_features
0.68,0.9047619047619048,0.7307692307692307,0.8085106382978723,45513,4,14,38,engineered_features
0.69,0.9047619047619048,0.7307692307692307,0.8085106382978723,45513,4,14,38,engineered_features
0.7,0.926829268292683,0.7307692307692307,0.8172043010752689,45514,3,14,38,engineered_features
0.71,0.926829268292683,0.7307692307692307,0.8172043010752689,45514,3,14,38,engineered_features
0.72,0.926829268292683,0.7307692307692307,0.8172043010752689,45514,3,14,38,engineered_features
0.73,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.74,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.75,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.76,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.77,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.78,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.79,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.8,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.81,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.82,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.83,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,engineered_features
0.84,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.85,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.86,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.87,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.88,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.89,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.9,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.91,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.92,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.93,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.94,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
0.95,0.9487179487179487,0.7115384615384616,0.8131868131868132,45515,2,15,37,engineered_features
