threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,false_alert_rate,fraud_capture_rate,total_cost,cost_false_negative,cost_false_positive
0.35,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.36,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.37,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.38,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.39,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.4,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.41,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.42,56876,11,18,57,0.8382352941176471,0.76,0.7972027972027972,0.0001933657953486737,0.76,1855,100,5
0.43,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.44,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.45,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.46,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.47,56877,10,18,57,0.8507462686567164,0.76,0.8028169014084507,0.00017578708668061245,0.76,1850,100,5
0.48,56878,9,18,57,0.8636363636363636,0.76,0.8085106382978723,0.0001582083780125512,0.76,1845,100,5
0.49,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.5,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.51,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.52,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.53,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.54,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.55,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.56,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.57,56879,8,18,57,0.8769230769230769,0.76,0.8142857142857143,0.00014062966934448996,0.76,1840,100,5
0.58,56879,8,19,56,0.875,0.7466666666666667,0.8057553956834532,0.00014062966934448996,0.7466666666666667,1940,100,5
0.59,56879,8,19,56,0.875,0.7466666666666667,0.8057553956834532,0.00014062966934448996,0.7466666666666667,1940,100,5
0.6,56879,8,19,56,0.875,0.7466666666666667,0.8057553956834532,0.00014062966934448996,0.7466666666666667,1940,100,5
0.61,56879,8,19,56,0.875,0.7466666666666667,0.8057553956834532,0.00014062966934448996,0.7466666666666667,1940,100,5
0.62,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.63,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.64,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.65,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
