fpr,tpr,threshold
0.645525339708545,1.0,7.986408e-06
0.6567932919647723,1.0,7.575204e-06
0.6568284493821084,1.0,7.573918e-06
0.6619965897305184,1.0,7.4008058e-06
0.6620317471478545,1.0,7.4007066e-06
0.6637368818886564,1.0,7.3360447e-06
0.6637720393059926,1.0,7.335975e-06
0.6643872941093747,1.0,7.3174797e-06
0.6644224515267109,1.0,7.3169213e-06
0.6658814843461599,1.0,7.2761172e-06
0.6659166417634961,1.0,7.275999e-06
0.6702937402218433,1.0,7.144782e-06
0.6703288976391795,1.0,7.1446457e-06
0.6733348568214179,1.0,7.0569185e-06
0.673370014238754,1.0,7.0569045e-06
0.6739501116248,1.0,7.0377173e-06
0.6739852690421362,1.0,7.0372607e-06
0.6743544219241655,1.0,7.020396e-06
0.6743895793415016,1.0,7.020262e-06
0.6750224128535518,1.0,6.9939133e-06
0.6750575702708879,1.0,6.9933594e-06
0.6777295339884332,1.0,6.8983913e-06
0.6777646914057693,1.0,6.8969844e-06
0.6809288589660204,1.0,6.7899728e-06
0.6809640163833565,1.0,6.7892024e-06
0.6825109427461459,1.0,6.7361375e-06
0.6825461001634819,1.0,6.7352894e-06
0.6874329811732031,1.0,6.5830586e-06
0.6874681385905391,1.0,6.5828262e-06
0.6874857172992072,1.0,6.582512e-06
0.6875208747165433,1.0,6.5819536e-06
0.6925132279782727,1.0,6.422644e-06
0.6925483853956088,1.0,6.4213523e-06
0.694587515601104,1.0,6.3507196e-06
0.69462267301844,1.0,6.3495686e-06
0.6955543445778473,1.0,6.3246875e-06
0.6955895019951834,1.0,6.3236685e-06
0.6969782199799602,1.0,6.2862027e-06
0.6970133773972964,1.0,6.2860167e-06
0.6973825302793257,1.0,6.2717895e-06
0.6974176876966618,1.0,6.271676e-06
0.6978747341220314,1.0,6.253388e-06
0.6979098915393676,1.0,6.2530066e-06
0.7019002584070174,1.0,6.122083e-06
0.7019354158243536,1.0,6.121295e-06
0.7040097034471847,1.0,6.0615243e-06
0.7040448608645209,1.0,6.0613397e-06
0.7081934361101834,1.0,5.9490376e-06
0.7082285935275194,1.0,5.947999e-06
0.7112169740010899,1.0,5.856153e-06
0.711252131418426,1.0,5.8548126e-06
0.7150315537820592,1.0,5.7529005e-06
0.7150667111993952,1.0,5.7528564e-06
0.719848119957108,1.0,5.633082e-06
0.719883277374444,1.0,5.6319914e-06
0.7244361629194719,1.0,5.511773e-06
0.7244713203368081,1.0,5.5115047e-06
0.7252272048095347,1.0,5.4898187e-06
0.7252623622268708,1.0,5.4898132e-06
0.7263346634556226,1.0,5.45911e-06
0.7263698208729586,1.0,5.45823e-06
0.7273893859757062,1.0,5.4336174e-06
0.7274245433930423,1.0,5.4334364e-06
0.7301492432365918,1.0,5.365646e-06
0.730184400653928,1.0,5.3655735e-06
0.7304305025752809,1.0,5.3580525e-06
0.7304656599926169,1.0,5.3578374e-06
0.7319071141033979,1.0,5.3191907e-06
0.7319422715207341,1.0,5.3187896e-06
0.739395643995992,1.0,5.1280967e-06
0.7394308014133282,1.0,5.127906e-06
0.7480443686606781,1.0,4.8997276e-06
0.7480795260780143,1.0,4.8990128e-06
0.7531070367570798,1.0,4.764835e-06
0.753142194174416,1.0,4.7647577e-06
0.7564997275300156,1.0,4.6860628e-06
0.7565348849473518,1.0,4.6859377e-06
0.7576423435934396,1.0,4.6617165e-06
0.7576775010107758,1.0,4.661019e-06
0.7582751771054899,1.0,4.6476143e-06
0.7583103345228259,1.0,4.6473615e-06
0.7637597342099249,1.0,4.5147035e-06
0.7637948916272611,1.0,4.51389e-06
0.764058572257282,1.0,4.5078673e-06
0.7640937296746181,1.0,4.5073643e-06
0.7664316979274702,1.0,4.451998e-06
0.7664668553448064,1.0,4.4519256e-06
0.767222739817533,1.0,4.4369935e-06
0.7672578972348691,1.0,4.436439e-06
0.771529523441208,1.0,4.3312775e-06
0.7715646808585441,1.0,4.3300015e-06
0.7808638177439485,1.0,4.1213434e-06
0.7808989751612847,1.0,4.121194e-06
0.7897234869126514,1.0,3.930177e-06
0.7897586443299875,1.0,3.930128e-06
0.7938720621583139,1.0,3.842512e-06
0.79390721957565,1.0,3.8418816e-06
0.7971241232619052,1.0,3.781338e-06
0.7971592806792414,1.0,3.7812554e-06
0.7983897902860055,1.0,3.7545356e-06
0.7984249477033417,1.0,3.7544742e-06
0.8003586056568285,1.0,3.7136579e-06
0.8003937630741645,1.0,3.7135692e-06
0.803680981595092,1.0,3.6393678e-06
0.8037161390124281,1.0,3.639177e-06
0.8047005466978395,1.0,3.6253211e-06
0.8047357041151757,1.0,3.6244192e-06
0.8076889271714099,1.0,3.563545e-06
0.8077240845887461,1.0,3.5622945e-06
0.8082514458487879,1.0,3.552937e-06
0.8082866032661241,1.0,3.5529338e-06
0.8182361523722468,1.0,3.3596734e-06
0.8182713097895828,1.0,3.3591543e-06
0.8199412871130487,1.0,3.3313768e-06
0.8199764445303848,1.0,3.3308654e-06
0.8200116019477209,1.0,3.3303222e-06
0.820046759365057,1.0,3.3298709e-06
0.8227538804999385,1.0,3.2824544e-06
0.8227890379172746,1.0,3.2821347e-06
0.8243008068627279,1.0,3.2490736e-06
0.824335964280064,1.0,3.2474843e-06
0.8250391126267864,1.0,3.2335836e-06
0.8250742700441226,1.0,3.2331827e-06
0.8288712711164238,1.0,3.153438e-06
0.82890642853376,1.0,3.1532757e-06
0.8310861884085995,1.0,3.109586e-06
0.8311213458259357,1.0,3.1094912e-06
0.8410708949320583,1.0,2.933565e-06
0.8411060523493944,1.0,2.933478e-06
0.8471707068398755,1.0,2.8242455e-06
0.8472058642572117,1.0,2.8231764e-06
0.8523212684796175,1.0,2.72814e-06
0.8523564258969536,1.0,2.727612e-06
0.8559776398825742,1.0,2.666008e-06
0.8560127972999103,1.0,2.6658402e-06
0.8575421449540317,1.0,2.631706e-06
0.8575773023713678,1.0,2.6314199e-06
0.8578058255840526,1.0,2.6284754e-06
0.8578409830013887,1.0,2.6278763e-06
0.8582628720094222,1.0,2.619759e-06
0.8582980294267583,1.0,2.6197417e-06
0.860231687380245,1.0,2.586469e-06
0.8602668447975812,1.0,2.585628e-06
0.8643099477912353,1.0,2.5117258e-06
0.8643451052085713,1.0,2.5115341e-06
0.8706382829117373,1.0,2.3990658e-06
0.8706734403290735,1.0,2.3989035e-06
0.8738024504719883,1.0,2.344256e-06
0.8738376078893244,1.0,2.3441376e-06
0.8784783869776926,1.0,2.265456e-06
0.8785135443950287,1.0,2.265199e-06
0.8815019248685991,1.0,2.2178342e-06
0.8815370822859353,1.0,2.2176166e-06
0.8824511751366745,1.0,2.2056279e-06
0.8824863325540105,1.0,2.205037e-06
0.8833828466960817,1.0,2.1888625e-06
0.8834180041134179,1.0,2.1882258e-06
0.8872677413117233,1.0,2.1295962e-06
0.8873028987290593,1.0,2.129253e-06
0.8900275985726088,1.0,2.0902194e-06
0.890062755989945,1.0,2.090042e-06
0.8916448397700705,1.0,2.0690914e-06
0.8916799971874066,1.0,2.068904e-06
0.8927347197074903,1.0,2.0511168e-06
0.8927698771248264,1.0,2.05062e-06
0.8933675532195405,1.0,2.0414298e-06
0.8934027106368766,1.0,2.0411221e-06
0.9010142914901471,1.0,1.9257677e-06
0.9010494489074833,1.0,1.9257568e-06
0.9143213739518695,1.0,1.7153556e-06
0.9143565313692056,1.0,1.7149009e-06
0.9152882029286129,1.0,1.7007443e-06
0.915323360345949,1.0,1.7005626e-06
0.9165187125353772,1.0,1.6810855e-06
0.9165538699527133,1.0,1.6810678e-06
0.9203684497336826,1.0,1.6223091e-06
0.9204036071510187,1.0,1.6220865e-06
0.9207024451983757,1.0,1.6175634e-06
0.9207376026157118,1.0,1.6174553e-06
0.9232513579552446,1.0,1.5805658e-06
0.9232865153725808,1.0,1.5805402e-06
0.9311441981472041,1.0,1.4507478e-06
0.9311793555645402,1.0,1.4506344e-06
0.9324098651713045,1.0,1.430755e-06
0.9324450225886406,1.0,1.4307509e-06
0.9373143248896936,1.0,1.3474313e-06
0.9373494823070297,1.0,1.3471974e-06
0.9495666848313323,1.0,1.1617913e-06
0.9496018422486684,1.0,1.1610978e-06
0.9500940460913742,1.0,1.1538291e-06
0.9501292035087102,1.0,1.1537059e-06
0.9558422838258301,1.0,1.0725618e-06
0.9558774412431663,1.0,1.0723511e-06
0.9567212192592333,1.0,1.0576032e-06
0.9567563766765693,1.0,1.0575255e-06
0.9610455815915763,1.0,9.957355e-07
0.9610807390089124,1.0,9.956748e-07
0.9642800639864996,1.0,9.4301237e-07
0.9643152214038356,1.0,9.424468e-07
0.9644382723645121,1.0,9.405244e-07
0.9644734297818482,1.0,9.4051194e-07
0.977024627770844,1.0,7.359866e-07
0.97705978518818,1.0,7.3594316e-07
0.9777101974088983,1.0,7.2734485e-07
0.9777453548262345,1.0,7.2724913e-07
0.9789758644329988,1.0,7.066772e-07
0.979028600559003,1.0,7.0662463e-07
0.9969413046917573,1.0,2.9868752e-07
0.9969764621090935,1.0,2.9842985e-07
1.0,1.0,6.804571e-08
